userName,score,at,content
Rijal Juniar,1,2025-12-11 00:32:34,klo bikin aplikasi yang bener napa ketimbang upload foto g bisa take foto cuman bisa kamera depan mana g bisa d fokusin kemeranya niat ga si jadi pengurus negara
maulia,1,2025-12-10 15:48:52,jelek 👎🤟
perwira simanjuntak,1,2025-12-10 06:41:53,"deplover ga jelas, ada gak ada aplikasi sama aja ribet, besok besok jadi deplover pripayer aja"
Nina Masinem,5,2025-12-10 04:04:18,belum ada pengalaman mengisi Aplikasi ini dengan hp
Sudirman,1,2025-12-09 10:31:36,"tidak ada menu ""lupa sandi"" tolong perbaiki"
Agung Yustian,5,2025-12-09 07:54:18,good apk
Nur Annisa,1,2025-12-08 16:45:18,"saat daftar susah nya minta ampun setelah berhari-hari baru berhasil, nah sekarang mau reset password aja dibikin lebih sulit lagi,perbaiki lagi lah sistem nya ini mah kalo bisa dikasih 0.5⭐"
Rio,1,2025-12-08 15:40:44,ga guna. sulit digunakan
MAS Ijonk Khan,1,2025-12-08 12:06:15,"ribet gak bisa masuk, dan tidak ada menu lupa pasword"
Roy,1,2025-12-08 03:02:09,Aplikasi tolol kode otp salah terus
Gina Hidayanti,1,2025-12-06 12:37:06,"ini aplikasi udah rampung? kalau udah rampung makan biaya berapa M?dicomot berapa M? parah gini, sayang buang buang duit rakyat bikin apk setengah-setengah,GAJE mempersulit yg bayar pajak yg dapet subsidi mana ngerti"
Erwin Iu,1,2025-12-06 11:28:20,lupa pasword bagaimna caranya?
Blackjack 1997,1,2025-12-06 05:32:34,"ribet heyy , dana miliyaran applikasi buruk rupa"
Libra,1,2025-12-06 02:03:33,tak bisa loginn tololl
tara somplak,1,2025-12-05 22:23:18,mohon untuk di permudah cara merubah pasword yg sudah lupa... udah menciba berbagai cara tetap gagal .. ujung ujungnya tetap pakai website.
Gita Qomaril,1,2025-12-05 18:24:21,daftar NPWP aja di persulit! sebenarnya niat gak sih buat aplikasinya?
Zya Khy,1,2025-12-05 07:15:58,"Tolong lah ini kalo aplikasi nya belum siap jangan dulu di publish perbaiki dulu coba dulu sendiri, kata nya mau di benerin mau di siapin tim it hebat tapi sampe sekarang masih kek gini apk nya tolong lah jangan cuma omon omon katanya semua serba online biar mempermudah segalanya tapi yang ada malah makin ribet terus kemudahannya darimana? gak di web gak di apk SAMA AJA!!! padahal mau ngasih pemerintah duit buat di korupsi tapi malah di persulit"
Kamal Ramadhan,1,2025-12-05 04:17:15,untuk login saja sulit sekali
Idonz Zhabana,1,2025-12-05 01:14:51,menu untuk laporan pajaknya mana ini??
Ojuma Course,1,2025-12-04 17:12:32,"loginnnya ribet, selalu eror padahal user name sama password udah benar. apk cacat nggk guna dari pemerintah.👎👎"
Maida Hili,1,2025-12-04 16:08:59,masarakat dipersulit mendaftar jing
Khoirul Hasan bisri,1,2025-12-04 11:05:04,hati2 ini aplikasi bajak hp. saldo di shopee SM mbanking kekuras! tolong dari pihak playstore lebih bijak! pihak perpajakan tidak mengeluarkan aplikasi. tp lewat web
Anita Julianti,1,2025-12-04 09:14:58,apk ga guna
